ID,Use Case,AI Product,Delivery Owner,Status,Current Phase,Lifecycle Sub-Step,AI Governance Step,AI PO,AI Strategist,Buy/Build/Adapt,Submitter,Business Partner,Business Area,Executive Summary,Build Lead,Priority,Risk Assessment,Comments,Problem Statement,Description,Governance Notes,Timing Considerations,Is Real Data Required?,Does it Drive Internal Efficiency?,Data Scope,AI Solution or Tools of Interest,Build Status,Does it leverage AI on Products?,Build Notes,PV ID,Risk Level,In Scope,Modified By,Submission Date,Created,Submission Year,Intake & Triage Date,Risk Review Date,AI OC Review Date,AI GB Review Date,AI ARC Complete Date,Deployment/Approval Date,Completion,Stakeholders,In Build Team Scope,ADO Epic,Doc link. Funding Commitment Form,Doc link. Level of Effort,Doc link. Functional Design Document,Doc link. Technical Design Document,Doc link. Application Installation Quallification (AIQ),Doc link. Code Review,Doc link. Runbook,Doc link. Hypercare Exit Criteria,Doc link. SIT Test Scripts,Doc link. UAT Test Scripts,Modified,Total Priority,AI Validation Status,AI Monitoring Required,AI Safety and Performance Status,Financial ROI,Strategic Priority,Continuity,Regulatory priority level,Total Priority McKensey,Business Unit: Group,LOE Tshirt Size,Projected Value $,Doc link. BCFM,Doc link. URS Requirements,ROM / LOE Total Amount,Feasibility (Complexity & Data Readiness),Scalability or Reusability,Total Priority -Opt
74,HighRadius CashApp,HighRadius CashApp,,Completed,6. Approved as Standard,12. Complete,AI ARC Completed,"Vargas, Josue David","Ballestero, Michael",Buy,"Vargas, Josue David",,,,,Routine,,,,AI-driven payment-to-invoice reconciliation for finance teams,No Risk Assessment,,TRUE,TRUE,,,,FALSE,,,,Yes,"Abreu, Matthew",11/14/24,7/15/25 12:30,2024,,,,,,,,,No,,,,,,,,,,,,5/4/26 5:58,30,Not Assessed,Not Assessed,Completed,,,,,0,Other,,,,,,,,0
75,Hired Score,Hired Score,,Completed,6. Approved not by AI ARC,12. Complete,AI Governance Completed,"Vargas, Josue David","Ballestero, Michael",Buy,"Vargas, Josue David",,,,,Routine,,,,,No Risk Assessment,,TRUE,TRUE,,,,FALSE,,,,Yes,"Abreu, Matthew",11/14/24,7/15/25 12:31,2024,,,,,,,,,No,,,,,,,,,,,,5/4/26 5:58,30,Not Assessed,Not Assessed,Completed,,,,,0,Other,,,,,,,,0
76,XCode,XCode,AI Office,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Flores, Fernando","Flores, Fernando",Buy,"Rapoza , Ernie","Rapoza , Ernie",EDT,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=84&e=8Hw8C7,,Routine,/:x:/s/AIStrategy/IQCmyS5MY0rCRbqvMetKgWEGAWJVY8uHK6PVulqhLDgEhqw?e=gYXPe7,"11/10: Fer to follow up with Long, he is working on model performance.",AI-assisted code generation and debugging to enhance developer productivity and software quality for Apple platform applications.,AI-assisted code generation and debugging to enhance developer productivity and software quality for Apple platform applications.,AIOC updated,Routine,FALSE,FALSE,N/A,XCode,,FALSE,,,High,Yes,"Abreu, Matthew",6/16/25,7/15/25 12:33,2025,,7/2/25,7/10/25,,,,,"Indoria, Vijay",No,,,,,,,,,,,,5/4/26 8:09,30,Not Assessed,Not Assessed,Started,,,,,0,EDT,,,,,,,,0
78,Xelix,Xelix,,Completed,6. Approved as Standard,12. Complete,AI Governance Completed,"Vargas, Josue David","Ballestero, Michael",Buy,"Rachh, Jignesh","Rachh, Jignesh",EDT,,,Routine,,,AI-powered vendor query triage for accounts payable teams,AI-powered vendor query triage for accounts payable teams,No Risk Assessment,Routine,FALSE,FALSE,,Xelix,,FALSE,,,,Yes,"Abreu, Matthew",11/14/24,7/15/25 12:38,2024,,,,,,,,,No,,,,,,,,,,,,5/4/26 6:00,30,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
81,Zia Insights,Zia Insights,AI Office,Completed,6. Approved for Use,12. Complete,Risk Intake Sent,"Flores, Fernando","Flores, Fernando",Buy,"Singh, VedPrakash","Singh, VedPrakash",EDT,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=55&e=aPlzDZ,,Routine,/:x:/s/AIStrategy/IQCSbZ2Zm86ES6bE41qhJ7kLAcrdUQKyQKYZDn6NuR1ff_4?e=Pemfn1,,Zia Insights provides forecast recommendations for performance monitors and monitoring alerts.  Bettering the ability of the Zoho program's functionalities ,Zia Insights provides forecast recommendations for performance monitors and monitoring alerts. ,AIOC Updated,Routine,TRUE,TRUE,No data used from Stryker - Server information has confidential data,Zoho - Zia Insights,,FALSE,,,High,Yes,"Abreu, Matthew",4/3/25,7/15/25 12:46,2025,,5/28/25,6/12/25,,10/13/25,,,Corporate functions employees,No,,,,,,,,,,,,5/4/26 6:00,30,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
82,Iris AI,Iris AI,AI Office,In-Progress,1. Discovery,01. Use Case Submission,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"Manduchi, Ricardo","Monteiro, Michele",Marketing,/:p:/s/AIIntakeTeam/Ede_Omf9JiNPg_ZM0QCswSsB3zy8TQxK_6sK2oXCC1jAGA?e=q6ia5X,,Urgent,/:x:/s/AIStrategy/IQArl8ozsesLSo9oeg2QzbWKAW7gQhVkqcIU36uAcpk-20Q?e=gpvlSK,"11/10: Gus to follow up over Josh's email. 1/08 --> Fer, owner is OOO, will follow up on 19th January",,AI-assisted product inquiry resolution for sales teams,AIOC updated,,TRUE,TRUE,,,,TRUE,7/3: Owner is confirming if other tools are viable before proceeding through use case review with AI OC. Same as Zeca (Iris is the Agent).,,High,Yes,"Abreu, Matthew",2/6/25,7/15/25 12:47,2025,,2/26/25,7/10/25,,,,,,Yes,,,,,,,,,,,,5/4/26 8:13,30,Not Assessed,Not Assessed,Required,,,,,0,Corporate,,,,,,,,0
83,IT Compass,IT Compass,,Completed,7. Monitoring,12. Complete,AI Governance Completed,"Abreu, Matthew","Ballestero, Michael",Build,"Tindol, Blake","Schwenn, Alexis",EDT,,"Tindol, Blake",Routine,,Productivity Project,,AI-enabled IT knowledge delivery for IT Employees,No Risk Assessment,,TRUE,TRUE,,,,FALSE,Completed!,1007156,,Yes,"Elizondo, Carlos",11/14/24,7/15/25 12:48,2024,,,,,,,100%,,Yes,,,,,,,,,,,,3/27/26 7:13,30,Not Required,Not Required,Not Required,3,4,1,0,8,EDT,Medium $250k,"$300,000.00 ",,,,2,4,56
87,Neural Network Joint Replacement and Trauma,Neural Network Joint Replacement and Trauma,,On Hold,1. Ideation,01. Use Case Submission,New Use Case,"De la Torre, Gustavo",,Build,"Vargas, Josue David","Willard, Richie",Trauma & Extremities,,,Routine,,12/18 --> Gus to follow up with Richie.,,Develop a custom neural network utilizing Stryker’s Joint Replacement and Trauma inventory and case data. The neural network will have customized inputs and outputs so that it may be used for a variety of software applications. The network will be trained on both existing inventory and historical inventory movement trends with the goal of using the output for predictive analysis in the future.,No Risk Assessment,,TRUE,TRUE,,,,FALSE,,1008148,,Yes,"Elizondo, Carlos",,7/17/25 15:04,,,,,,,,,,No,,,,,,,,,,,,3/27/26 7:12,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,Commercial US,,,,,,,,0
89,CE Chatbot,CE Chatbot,AI Office,Completed,8. Cancelled,12. Complete,Cancelled,"De la Torre, Gustavo",,Build,"Vargas, Josue David","Willard, Richie",Trauma & Extremities,,,Routine,,,,Develop a custom neural network utilizing Stryker’s Joint Replacement and Trauma inventory and case data. The neural network will have customized inputs and outputs so that it may be used for a variety of software applications. The network will be trained on both existing inventory and historical inventory movement trends with the goal of using the output for predictive analysis in the future.,,,TRUE,TRUE,,,,TRUE,,1008160,,Yes,"Elizondo, Carlos",,7/18/25 12:55,,,,,,,,,,No,,,,,,,,,,,,3/27/26 7:13,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,Commercial US,,,,,,,,0
90,Instrument AI,Instrument AI,,On Hold,1. Discovery,01. Use Case Submission,New Use Case,"Perez, Alfonso","Ballestero, Michael",Buy,"Willard, Richie","Willard, Richie",Trauma & Extremities,,,Routine,,Josue: 17/12 Richie said he is going to check on planview,,Leverage AI to improve Stryker's ability to respond to hospital RFP's utilizing CCR (competative cross reference) and business rules to take multiple format XLS from hospitals and create a templated response to RFP's matching competative product to SYK product and allow for tiered adjustmets to pricing options/scenarios,No Risk Assessment,,TRUE,TRUE,,,,TRUE,,1008161,,Yes,"Abreu, Matthew",,7/18/25 12:59,,,,,,,,,,No,,,,,,,,,,,,5/4/26 8:13,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,Commercial US,,,,,,,,0
91,EMEA Marketing,EMEA Marketing,,Completed,8. Reject,12. Complete,Cancelled,"De la Torre, Gustavo","De la Torre, Gustavo",Build,"De la Torre, Gustavo","Schweitzer, Diederik",Europe,,,Time-Sensitive,,,,"Build a custom Microsoft Copilot agent to generate new and localize existing Marketing content to meet EMEA standards, without compromising compliance or quality. The use case will focus on automating time-consuming localization tasks such as:

a.Screening US/global marketing material and highlight content that does not meet EMEA standards.
b.Suggesting localized content proposals in line with EMEA standards.
c.Generating first-draft content aligning messaging and tone with EMEA standards.
d.Generating translated versions of approved English content.",,,TRUE,TRUE,,,,FALSE,,1009356,,Yes,"Elizondo, Carlos",,7/18/25 14:46,,,,,,,,,,Yes,,,,,,,,,,,,3/27/26 7:13,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,Commercial INTL,,,,,,,,0
92,Project Clever - AI for Clinical Docs (Duplicated),,,Completed,8. Bad Information,12. Complete,AI Governance Completed,"Arguedas, Andre","Heller, Amanda",Build,"Vargas, Josue David","Maurer, Heather",Instruments,,"Barrientos, Jeiner",Routine,/:x:/s/AIStrategy/IQAtW2GyO07cRrymQ3llHeq8AQQhg0Lkpt5tRsc5pmh2oR0?e=TVQ2cA,,,"Automating Clinical Evaluation Reports (CERs) offers a valuable solution for addressing the backlog of FDA-approved devices that haven't entered other markets due to missing CERs. By automating this process,Stryker divisions can accelerate market entry, generate revenue, and significantly reduce operating costs. With CERs typically costing $100K per report, and dozens of devices in the backlog, the potential savings are substantial. Automation also ensures that CERs are regularly updated according to regulatory requirements—particularly important for high-risk devices needing annual updates and low-risk devices requiring updates every 2-5 years. This approach helps devices reach new markets faster, benefiting both the company and patients.",,,TRUE,TRUE,,,2-In Progress,FALSE,Slalom Initiative.,,,No,"Elizondo, Carlos",9/2/25,7/18/25 14:56,2025,,9/10/25,9/11/25,,,,20%,,Yes,"1,152,091",,,,,,,,,,,3/27/26 7:10,30,Not Assessed,Not Assessed,Completed,,,,,0,Commercial US,,,,,,,,0
95,Planning COE AI Opportunities,Planning COE AI Opportunities,,On Hold,1. Ideation,01. Use Case Submission,New Use Case,"Ballestero, Michael",,Build,"Vargas, Josue David","Watkins, Ronald",Instruments,,,Routine,,11/10: Mike to follow up.                               .                                                                       12/18: Mike to reactive or confirm to continue or close.,,"The Planing COE would like to explore the two AI opportunities that we identified in a brainstorming session.
1. Optimal inventory calculations, assuming data is already available (Effort 3, Impact 10)
2. SKU-level E&O forecast, assuming data is already available (Effort 3, Impact 2)",,,TRUE,TRUE,,,,FALSE,,1008745,,Yes,"Elizondo, Carlos",12/8/25,7/18/25 15:40,,,,,,,,,,No,,,,,,,,,,,,3/27/26 7:14,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,Commercial US,,,,,,,,0
96,SMK QMS Chatbot,SMK QMS Chatbot,,In-Progress,3.Demand,06. Pre-DRB,Pending Assessments / AI ARC,"De la Torre, Gustavo","Heller, Amanda",Build,"Vargas, Josue David","Cubacha, Maria",Medical,,"Arguedas, Andre",Time-Sensitive,/:x:/s/AIStrategy/IQB8FQwXv-nrRIqcuLGHyNEwAXy304LUoKazTFdKsEUQSt0?e=i5yulb,11/11 --> Waiting on funding (Brent to confirm),,"To implement an AI-powered chatbot that serves as an intelligent front-end interface for users interacting with the QMS. The chatbot will assist in:

* Navigating the QMS
* Retrieving and interpreting quality requirements
* Identifying approval authority (Appr Auth tables)
* Identifying compliance gaps
* Providing contextual guidance and recommendations
* Training and onboarding",,,TRUE,TRUE,,,1-Analysis,FALSE,Technical Scoping Completed.,1009095,High,Yes,"Elizondo, Carlos",12/15/25,7/18/25 15:48,,,,,,,,20%,"Brent, Liedke
",Yes,,,,,,,,,,,,3/27/26 7:14,35,Not Assessed,Not Assessed,Required,3,3,1,0,7,Commercial US,Small $78k,"$150,000.00 ",,,"$65,000.00 ",3,4,48.5
98,OCR needs - San Jose,,,Completed,8. Cancelled,12. Complete,Cancelled,"Ballestero, Michael","Heller, Amanda",Build,"Vargas, Josue David","Morgan, Benjamin",GQO,,,Routine,,"12/17, message from Benjamin: Hi Gustavo, thanks for reaching out. We did get what we needed and no longer have a pending need for this from the AI team.
 
Thanks!",,"Below are some basic system requirements that FlexiCapture currently offers us:

•The system shall be capable of scanning between 500 to 800 pages per day and support batch scanning of up to 200 pages at once.
•The system shall automatically parse, and group scanned pages into documents based on predefined label recognition rules (at least 5 different known label types, but system is capable of recognizing new labels for future changes) (see attached example DHR, current FlexiCapture system recognizes this label as a new document when scanning in large batches).
•The system shall recognize and differentiate between several predefined product label formats using pattern recognition, machine learning, or AI (see attached 2 different labels where required fields are in different locations on the label)
•The system shall extract the following fields from each recognized label:
- Product number
- Serial number
- Date of manufacture (in format YYYY-MM-DD)
•Extracted data shall be validated against field-specific rules (e.g., serial number must be alphanumeric, product numbers must match a reference table).
•The system shall convert scanned documents into PDF format and upload them to a cloud-based storage system.
• The system shall expose extracted label data and scan data through a database view accessible to a connected Power BI dashboard. (link)",,,TRUE,TRUE,,,,FALSE,,1009318,,No,"Elizondo, Carlos",,7/21/25 15:03,,,,,,,,,,No,,,,,,,,,,,,3/27/26 7:13,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,GQO,,,,,,,,0
99,AI Process Development,AI Process Development,,Completed,8. Cancelled,01. Use Case Submission,New Use Case,"De la Torre, Gustavo",,Build,"Vargas, Josue David","Turner, Mandi",EDT,,,Routine,,,,To build a process around AI Governance,,,TRUE,TRUE,,,,FALSE,,1008204,,Yes,"Elizondo, Carlos",,7/21/25 15:09,,,,,,,,,,No,,,,,,,,,,,,3/27/26 7:13,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,EDT,,,,,,,,0
100,AI for GFax Emails - Project Fast Pass,AI for GFax Emails - Project Fast Pass,AI Office,In-Progress,5. Testing,12. Complete,AI Governance Completed,"Arguedas, Andre","Heller, Amanda",Build,"Giandiletti, Kimberly","Giandiletti, Kimberly",Instruments,,"Tindol, Blake",Routine,/:x:/s/AIIntakeTeam/EYgtJoLx3PRImhumDkyUfDIBJjKWocLB8c6VDc9rEk6fiA?e=ZQoPRc,,,"The AI solution will eliminate the manual review process of GFax emails by the call center agents.  
Today, roughly 40% of GCC emails are manually reviewed and forwarded to GFAX for processing.  By using AI to perform this process, we would increase the quality of the review, free up call center agents to manage more complex customer facing issues and increase employee morale.  
Ideally, if the order could be placed in SAP, we could even eliminate GFax altogether.  The GFax email review process is similar across Stryker. So, this AI process could be leveraged with other divisions.",,,TRUE,TRUE,,,2-In Progress,FALSE,Monday August 8th will be official Kickoff. Work done by Pablo and Blake.,1008147,,Yes,"Elizondo, Carlos",2/6/25,7/21/25 15:12,2025,,,,,8/3/25,,80%,,Yes,"1,154,714",https://stryker.sharepoint.com/:x:/r/sites/AIforGFax/Shared%20Documents/AI%20for%20GFax/Project%20Documents/1.Demand/FCF/T17%20Project%20Funding%20Commitment%20template%20w%20entities.xlsx?d=w90ec0727e7204b778f386988902bbdc6&csf=1&web=1&e=Yk4WxA,https://stryker.sharepoint.com/:x:/r/sites/AIforGFax/Shared%20Documents/AI%20for%20GFax/Project%20Documents/1.Demand/LOE/RPA_ITCOE_REGION_TEMPLATE_LOE.xlsx?d=w56a791aa663d4c32aa04d99d6c5c48f8&csf=1&web=1&e=sBf3bO,https://stryker.sharepoint.com/:w:/r/sites/AIforGFax/Shared%20Documents/AI%20for%20GFax/Project%20Documents/3.Design/FDD/%5BWork%20ID%5D_%5BProject%20Name%5D_RPA_FDD_V1.0.docx?d=wbebeba8ac67d46978226eaef9b6bfea5&csf=1&web=1&e=nL0aYb,,,,,,,,3/27/26 7:13,49,ITOM,Not Required,Completed,3,4,1,0,8,Commercial US,Medium $250k,"$1,300,000.00 ",,,,4,4,83
102,Inventory Ai,Inventory Ai,,On Hold,1. Ideation,01. Use Case Submission,New Use Case,"De la Torre, Gustavo",,Build,"Vargas, Josue David","Willard, Richie",Trauma & Extremities,,,Routine,,,,"Capturing the surgey process within the OR surgeon/staff will consume insturments/implants from Stryker tray to perform surgery.   Currently consumption is recorded by the Stryker Sales Rep during the procedure utilzing mobile device/applicaiton.   Can we leverage ""Visual AI"" to capture the consumption of instruments/implants using live video capturing technology or before/after still images that can then be reconciled by the sales rep in their mobile device/application",No Risk Assessment,,TRUE,TRUE,,,,FALSE,,1008162,High,Yes,"Elizondo, Carlos",,7/21/25 15:19,,,,,,,,,,No,,,,,,,,,,,,3/27/26 7:13,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,Commercial US,,,,,,,,0
103,Kit AI,Kit AI,,On Hold,1. Ideation,01. Use Case Submission,New Use Case,"De la Torre, Gustavo",,Build,"Vargas, Josue David","Willard, Richie",Trauma & Extremities,,,Routine,,,"Cost Savings: Reduce overstocking, wastage, and carrying costs.
Efficiency Gains: Streamline replenishment with real-time data and automation.
Improved Decision-Making: Leverage analytics for dynamic, optimized resource management.",AI Control Tower - Replenishment analytics and decision tree on surgical replenshments.   Current process is 100% replensihment post case regardless of local inventory on hand.   This control tower would aggregate data from orders/inventory on hand and utilize business rules to decide on replenshiment.,No Risk Assessment,,TRUE,TRUE,,,,FALSE,,1008163,,Yes,"Elizondo, Carlos",,7/21/25 15:21,,,,,,,,,,No,,,,,,,,,,,,3/27/26 7:13,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,Commercial US,,,,,,,,0
104,Ariba AI,Ariba AI,,Completed,8. Cancelled,12. Complete,,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"Lilley, Sheri","Lilley, Sheri",,,,Routine,,,,"Automates sourcing and purchasing decisions with AI-driven recommendations, reducing manual procurement effort.",,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Abreu, Matthew",2/6/25,7/23/25 19:41,2025,,,,,,,,,No,,,,,,,,,,,,5/4/26 8:15,30,Not Assessed,Not Assessed,Completed,,,,,0,Other,,,,,,,,0
105,iCertis Contract Lifecycle AI,iCertis Contract Lifecycle AI,,Completed,8. Reject,12. Complete,,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"Lilley, Sheri","Lilley, Sheri",,,,,,,,,,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Abreu, Matthew",2/6/25,7/23/25 19:52,2025,,,,,,,,,No,,,,,,,,,,,,5/4/26 6:12,30,Not Assessed,Not Assessed,Completed,,,,,0,Other,,,,,,,,0
106,AEM Assets,AEM Assets,AI Office,On Hold,3. Evaluation,11. Active Downstream Assessments,Completed DA,"Flores, Fernando","Flores, Fernando",Buy,"Campomanes, Bridget","Campomanes, Bridget",Marketing,,,Routine,/:x:/s/AIIntakeTeam/EX-8mSpvQepCvMKA10G1J5sBuxsuIxtfAz0YC-xAqjhdNQ?e=14KGmg,,,"Adobe Experience Manager (AEM) Assets as a Cloud Service incorporates several Generative AI capabilities that enhance the management and utilization of digital assets. These capabilities leverage AI to streamline asset creation, management, and optimization, allowing for more efficient workflows and improved content outcomes. Stryker's marketing and communications teams will use these new AI features in AEM Assets to:
",AIOC updated,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",7/21/25,7/24/25 8:34,2025,,7/30/25,8/14/25,,,,,,No,,,,,,,,,,,,5/4/26 8:01,30,Not Assessed,Not Assessed,Started,,,,,0,Corporate,,,,,,,,0
107,AEM Sites,AEM Assets,AI Office,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Flores, Fernando","Flores, Fernando",Buy,"Campomanes, Bridget","Campomanes, Bridget",Marketing,,,Routine,/:x:/s/AIIntakeTeam/EUFcWuXsVDlAsV_TyaAweBwBqqYqDpYprXzImLXiKj3Sbg?e=WozQPO,11/11: Pending Model Performance (in backlog) - confirmed by Joshua. ,,"Adobe Experience Manager (AEM) Sites uses Generative AI capabilities that enhance content creation and management. These capabilities are designed to streamline the content creation process, personalize experiences, and ultimately improve the efficiency and effectiveness of digital marketing strategies on Stryker's customer website: stryker.com 
",AIOC updated,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",7/21/25,7/24/25 8:36,2025,,7/30/25,8/14/25,,,,,"Brown, Erika",No,,,,,,,,,,,,5/4/26 8:01,30,Not Assessed,Not Assessed,Started,,,,,0,Corporate,,,,,,,,0
108,Front,Front,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Gamboa, Joshua","Gamboa, Joshua",Buy,"Gonzalez, John (Contractor)","Durban, Kelly",Inari,,,Time-Sensitive,/:x:/s/AIIntakeTeam/EUS24orwoeBMtwiA4dHkolYBQJRqIzV0p1Dr5DJbL9D38Q?e=AW3Rfz,"11/11: Joshua confirmed model performance is completed, ready for AI ARC. --> Fer to check if the AI ARC template is completed to help them to move forward.",,,AIOC updated,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Abreu, Matthew",5/14/25,7/27/25 17:43,2025,,7/16/25,,,,,,,No,,,,,,,,,,,,5/4/26 8:06,30,Required,Required,Completed,,,,,0,Other,,,,,,,,0
109,Cornerstone AI,Cornerstone AI,,Completed,6. Approved for Use,12. Complete,DA In Progress,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"Brouwers, Jean-Pierre","Brouwers, Jean-Pierre",Europe,/:p:/r/sites/StrykerMainPersonal/Shared%20Documents/Use%20Cases%20Projects/Buy/Cornerstone%20EU%20AI/Initial%20Intake%20Form%20Cornerstone%2025JUL2025%20-%20Copy.pptx?d=w9021bda591514cec981ea2077d07c9f0&csf=1&web=1&e=h9g1hG,,Urgent,/:x:/s/AIStrategy/IQCi0kaM87ICT6_ExAW50olqAdqipM_e4b6OyBvFZtJUP3U?e=TfdffR,,"Stryker Customer Experience team currently lack knowledge content, an effective training platform and a knowledge base.​

Training relies heavily on informal buddy systems, leading to inconsistent customer experience employee preparedness.​​

No structured learning plans aligned with career pathways​. Training content is scattered and lacks formal documentation,
hindering effective knowledge transfer.​ Customer Experience employees lack soft skills training for customer interactions,
affecting the quality of service.​","This project will focus on the introduction of a new cloud-based social learning platform for European Customer Experience
colleagues. It will address three central functions:​ 1.Online, unified learning platform: Multi-lingual training content (multi-
format), structured learning plans, analytics​2. Colleague knowledge base: Knowledge articles, videos, IFUs, etc. Indexed using
AI LLM (single source of truth at the point of need)​3. Communications platform: Community-based platform that facilitate
communications between colleagues through content and training lens. Community announcements from people leaders;
newsletters, podcasts, videos, etc.",,,FALSE,TRUE,,"Cornerstone (already in use in US Stryker) contains two new modules to be implemented in EU with an AI component. These are:​

Immerse Solution + Companion: XR (extended reality) based immersive learning solution​

Learning Experience Platform (LXP) AI driven layer empowers focused learning",0-Not Assigned,FALSE,This use case has some concerns regarding the way the data is used for training their own models,,,Yes,"Abreu, Matthew",7/17/25,7/28/25 11:41,2025,,,,,8/4/25,,,"Bruce, Swan
Julie, Martin",No,,,,,,,,,,,,5/4/26 5:57,30,Required,Not Required,Completed,,,,,0,Commercial INTL,,,,,,,,0
110,Zendesk AI,,AI Office,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"De la Torre, Gustavo","Ballestero, Michael",Add-On,"Ihonvbere, Chloe","Cubacha, Maria",Medical,/:p:/r/sites/AIStrategy/Shared%20Documents/AI%20Operations/Intake/Forms/Templates/Initial%20Intake%20Form%20Zendesk%20AI.pptx?d=wbb675d621c7d4093ac6c2e537f6d1af7&csf=1&web=1&e=lOkHkw,,Routine,/:x:/s/AIStrategy/EYZYT3bINNtOgasglTdpKUkBtWMdBSc4kcdTWq2qmKbeZA?e=XOshYy,"11/11: Gus, to confirm with Maria the status of the assessments. ","Support teams waste time on manual triage, inconsistent replies, and poor knowledge access, slowing
responses and hurting customer satisfaction. Zendesk Copilot automates tasks and improves
information flow to fix these issues.​sddf","Zendesk Copilot uses AI to automate ticket triage, assist agents with replies and summaries, and improve
knowledge base content and search—boosting efficiency, consistency, and resolution speed.​","Business is PST time zone and they won´t be able to assist in the actual schedule. We need to check if we could have a meeting in a different hour that could help this kind of cases. Pending to send AI Intake&Triage invite for Oct 28th. 
10/23/2025: Invite sent
11/11/2025: Requestor will be on vacation. Re schedule to Nov 26th.",,FALSE,FALSE,,"Zendesk
",0-Not Assigned,FALSE,,,Medium,Yes,"Abreu, Matthew",9/11/25,8/5/25 9:32,2025,10/28/25,11/26/25,,,,,,"Griener, Jeff​
Manuel, Sarah​
Ihonvbere, Chloe​
Romero Goitia, Juan​
Plotz, Archer",No,,,,,,,,,,,,5/4/26 8:09,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
111,Viva Glint - Copilot,,,Completed,6. Approved for Use,12. Complete,AI Governance Completed,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"Holmes, Lisa","Pizarro, Laurie",HR,,,,/:x:/s/AIIntakeTeam/ESAgcVEQK1xFpPppwaRz54sBwHS8HJ1T0NbJz5KbHAE-EA?e=H9dpNi,,,,AIOC updated,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Abreu, Matthew",8/11/25,8/12/25 4:33,2025,,8/13/25,,,9/29/25,,,,No,,,,,,,,,,,,5/4/26 6:00,30,Required,Required,Completed,,,,,0,Corporate,,,,,,,,0
112,AURA AI Orchestration Solution,,,In-Progress,4. Design & Build,11. Active Downstream Assessments,Pending AI OC Review,"Arguedas, Andre","Heller, Amanda",Build,"De la Torre, Gustavo","Tagliaferro, Barb",EDT,,"Barrientos, Jeiner",Time-Sensitive,/:x:/s/AIStrategy/IQDEMKN2Qx3pSZ6xlbxdv1eQAVpRJlat5t9NfZITAPIIaIg?e=D708d0,,Too many documents and guidelines to keep track off in a rapid manner.,"Internal chatbot meant to be used to retrieve information from Sharepoint, PDFs, Word, PPTX and Excel documents. ","10/29/2025: Waiting for Gus confirmation to present the use case in I&T meeting Nov 11. Mike confirmed to hold on the use case because overlaps with Aura´s initiative.
This use case was fast tracked. Continue with Risk Review.
03/25/2026: Risk Rev: Use case risk is accurate (High), acceptable, escalation to the AI Operating Committee is required (to clearly differentiate it from previous platforms like Goldie and to centralize visibility and governance for all chatbots built on Aura). Complete the downstream reviews/assessments ",Time-Sensitive,TRUE,TRUE,,Chatbot,2-In Progress,TRUE,Jeiner has been working on an internal Chatbot we can use for internal queries and to expand on our capabilities. It will be the first iteration of a multiple chatbot initiative.,1010414,High,Yes,"Elizondo, Carlos",8/20/25,8/20/25 11:51,2026,,3/25/26,5/14/26,,,,40%,"Alejandro, Perez
Michael, Ballesteros",Yes,,,,,,,,,,,,4/13/26 7:29,65,Not Assessed,Not Assessed,Required,5,4,1,0,10,EDT,Medium $250k,"$1,300,000.00 ",,,"$300,000.00 ",4,5,91
